v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,8789,0x8f9d5b91d00,87,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,8881,0x8f9d5b91da0,200,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,8972,0x8f9d5b91ec0,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,9073,0x8f9d5b91f60,75,InterpreterOnStackReplacement
code-creation,Builtin,3,9164,0x8f9d5b92000,832,CompileLazy
code-creation,Builtin,3,9252,0x8f9d5b92380,919,CompileLazyDeoptimizedCode
code-creation,Builtin,3,9340,0x8f9d5b89d60,201,DeserializeLazy
code-creation,Builtin,3,9427,0x8f9d5b92760,163,InstantiateAsmJs
code-creation,Builtin,3,9514,0x8f9d5b92860,47,NotifyDeoptimized
code-creation,Builtin,3,9607,0x8f9d5b928e0,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,9698,0x8f9d5b92960,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,9790,0x8f9d5b929e0,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,9902,0x8f9d5b92a60,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,9999,0x8f9d5b92ae0,70,OnStackReplacement
code-creation,Builtin,3,10089,0x8f9d5b92b80,15,HandleApiCall
code-creation,Builtin,3,10176,0x8f9d5b92be0,15,HandleApiCallAsFunction
code-creation,Builtin,3,10264,0x8f9d5b92c40,15,HandleApiCallAsConstructor
code-creation,Builtin,3,10352,0x8f9d5b92ca0,29,AllocateInNewSpace
code-creation,Builtin,3,10439,0x8f9d5b92d00,36,AllocateInOldSpace
code-creation,Builtin,3,10527,0x8f9d5b92d80,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,10616,0x8f9d5b93120,544,GrowFastDoubleElements
code-creation,Builtin,3,10704,0x8f9d5b93380,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,10800,0x8f9d5b935c0,363,NewArgumentsElements
code-creation,Builtin,3,10892,0x8f9d5b93780,464,DebugBreakTrampoline
code-creation,Builtin,3,10990,0x8f9d5b939a0,130,FrameDropperTrampoline
code-creation,Builtin,3,11079,0x8f9d5b93a80,63,HandleDebuggerStatement
code-creation,Builtin,3,11168,0x8f9d5b93b00,402,ToObject
code-creation,Builtin,3,11256,0x8f9d5b93ce0,151,ToBoolean
code-creation,Builtin,3,11349,0x8f9d5b93dc0,283,OrdinaryToPrimitive_Number
