v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,9600,0x1f9c5c691d00,87,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,9672,0x1f9c5c691da0,200,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,9809,0x1f9c5c691ec0,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,9920,0x1f9c5c691f60,75,InterpreterOnStackReplacement
code-creation,Builtin,3,10029,0x1f9c5c692000,832,CompileLazy
code-creation,Builtin,3,10133,0x1f9c5c692380,919,CompileLazyDeoptimizedCode
code-creation,Builtin,3,10231,0x1f9c5c689d60,201,DeserializeLazy
code-creation,Builtin,3,10328,0x1f9c5c692760,163,InstantiateAsmJs
code-creation,Builtin,3,10421,0x1f9c5c692860,47,NotifyDeoptimized
code-creation,Builtin,3,10516,0x1f9c5c6928e0,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,10618,0x1f9c5c692960,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,10698,0x1f9c5c6929e0,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,10813,0x1f9c5c692a60,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,10952,0x1f9c5c692ae0,70,OnStackReplacement
code-creation,Builtin,3,11066,0x1f9c5c692b80,15,HandleApiCall
code-creation,Builtin,3,11194,0x1f9c5c692be0,15,HandleApiCallAsFunction
code-creation,Builtin,3,11259,0x1f9c5c692c40,15,HandleApiCallAsConstructor
code-creation,Builtin,3,11378,0x1f9c5c692ca0,29,AllocateInNewSpace
code-creation,Builtin,3,11469,0x1f9c5c692d00,36,AllocateInOldSpace
code-creation,Builtin,3,11549,0x1f9c5c692d80,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,11627,0x1f9c5c693120,544,GrowFastDoubleElements
code-creation,Builtin,3,11724,0x1f9c5c693380,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,11828,0x1f9c5c6935c0,363,NewArgumentsElements
code-creation,Builtin,3,11926,0x1f9c5c693780,464,DebugBreakTrampoline
code-creation,Builtin,3,12027,0x1f9c5c6939a0,130,FrameDropperTrampoline
code-creation,Builtin,3,12105,0x1f9c5c693a80,63,HandleDebuggerStatement
code-creation,Builtin,3,12198,0x1f9c5c693b00,402,ToObject
code-creation,Builtin,3,12309,0x1f9c5c693ce0,151,ToBoolean
code-creation,Builtin,3,12407,0x1f9c5c693dc0,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,12494,0x1f9c5c693f20,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,12573,0x1f9c5c694080,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,12679,0x1f9c5c6941c0,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,12776,0x1f9c5c694300,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,12870,0x1f9c5c694440,95,StringToNumber
code-creation,Builtin,3,13005,0x1f9c5c6944e0,103,ToName
